SNo,Province/ Territory,Name,Population -2011,Population -2006,Change (%),Land area (km²),Population density (per km²)
1,Alberta,Airdrie,"42,564","28,927",47.1,33.1,"1,286.00"
2,Alberta,Brooks,"13,676","12,508",9.3,18.19,751.9
3,Alberta,Calgary,"10,96,833","9,88,812",10.9,825.29,"1,329.00"
4,Alberta,Camrose,"17,286","15,630",10.6,42.5,406.7
5,Alberta,Chestermere,"14,824","9,923",49.4,32.64,454.1
6,Alberta,Cold Lake,"13,839","11,991",15.4,59.3,233.4
7,Alberta,Edmonton,"8,12,201","7,30,372",11.2,684.37,"1,186.80"
8,Alberta,Fort Saskatchewan,"19,051","14,957",27.4,48.12,395.9
9,Alberta,Grande Prairie,"55,032","47,107",16.8,72.8,755.9
10,Alberta,Lacombe,"11,707","10,752",8.9,20.89,560.3
11,Alberta,Leduc,"24,279","16,967",43.1,36.97,656.7
12,Alberta,Lethbridge,"83,517","74,685",11.8,122.36,682.6
13,Alberta,Lloydminster (part),"18,032","15,910",13.3,24.19,745.6
14,Alberta,Medicine Hat,"60,005","56,997",5.3,112.01,535.7
15,Alberta,Red Deer,"90,564","83,154",8.9,104.29,868.4
16,Alberta,Spruce Grove,"26,171","19,541",33.9,32.37,808.6
17,Alberta,St. Albert,"61,466","57,764",6.4,48.27,"1,273.40"
18,Alberta,Wetaskiwin,"12,525","11,689",7.2,18.2,688.2
19,British Columbia,Abbotsford,"1,33,497","1,24,258",7.4,375.55,355.5
20,British Columbia,Armstrong,"4,815","4,241",13.5,5.19,928
21,British Columbia,Burnaby,"2,23,218","2,02,799",10.1,90.61,"2,463.50"
22,British Columbia,Campbell River,"31,186","29,572",5.5,143.12,217.9
23,British Columbia,Castlegar,"7,816","7,259",7.7,19.58,399.3
24,British Columbia,Chilliwack,"77,936","69,217",12.6,261.5,298
25,British Columbia,Colwood,"16,093","14,687",9.6,17.66,911.2
26,British Columbia,Coquitlam,"1,26,840","1,14,565",10.7,122.3,"1,037.10"
27,British Columbia,Courtenay,"24,099","22,021",9.4,29.38,820.2
28,British Columbia,Cranbrook,"19,319","18,329",5.4,31.95,604.7
29,British Columbia,Dawson Creek,"11,583","10,994",5.4,24.37,475.4
30,British Columbia,Duncan,"4,932","4,986",?1.1,2.07,"2,381.70"
31,British Columbia,Enderby,"2,932","2,828",3.7,4.26,687.7
32,British Columbia,Fernie,"4,448","4,217",5.5,14.83,299.8
33,British Columbia,Fort St. John,"18,609","17,402",6.9,22.69,820.2
34,British Columbia,Grand Forks,"3,985","4,036",?1.3,10.43,382
35,British Columbia,Greenwood,708,625,13.3,2.42,292.7
36,British Columbia,Kamloops,"85,678","80,376",6.6,299.23,286.3
37,British Columbia,Kelowna,"1,17,312","1,07,035",9.6,211.82,553.8
38,British Columbia,Kimberley,"6,652","6,139",8.4,60.62,109.7
39,British Columbia,Langford,"29,228","22,459",30.1,39.94,731.9
40,British Columbia,Langley,"25,081","23,606",6.2,10.22,"2,454.60"
41,British Columbia,Maple Ridge,"76,052","68,949",10.3,266.78,285.1
42,British Columbia,Merritt,"7,113","6,998",1.6,24.82,286.6
43,British Columbia,Nanaimo,"83,810","78,692",6.5,91.3,918
44,British Columbia,Nelson,"10,230","9,258",10.5,11.93,857.7
45,British Columbia,New Westminster,"65,976","58,549",12.7,15.63,"4,222.20"
46,British Columbia,North Vancouver,"48,196","45,165",6.7,11.83,"4,073.80"
47,British Columbia,Parksville,"11,977","10,993",9,14.44,829.6
48,British Columbia,Penticton,"32,877","31,909",3,42.1,780.9
49,British Columbia,Pitt Meadows,"17,736","15,623",13.5,86.51,205
50,British Columbia,Port Alberni,"17,743","17,548",1.1,19.76,897.9
51,British Columbia,Port Coquitlam,"55,958","52,687",6.2,29.17,"1,918.30"
52,British Columbia,Port Moody,"32,975","27,512",19.9,25.89,"1,273.80"
53,British Columbia,Powell River,"13,165","12,957",1.6,28.91,455.3
54,British Columbia,Prince George,"71,974","70,981",1.4,318.26,226.1
55,British Columbia,Prince Rupert,"12,508","12,815",?2.4,54.93,227.7
56,British Columbia,Quesnel,"10,007","9,326",7.3,35.38,282.8
57,British Columbia,Revelstoke,"7,139","7,230",?1.3,40.76,175.1
58,British Columbia,Richmond,"1,90,473","1,74,461",9.2,129.27,"1,473.50"
59,British Columbia,Rossland,"3,556","3,278",8.5,59.79,59.5
60,British Columbia,Salmon Arm,"17,464","16,012",9.1,155.28,112.5
61,British Columbia,Surrey,"4,68,251","3,94,976",18.6,316.41,"1,479.90"
62,British Columbia,Terrace,"11,486","11,320",1.5,57.36,200.3
63,British Columbia,Trail,"7,681","7,237",6.1,34.93,219.9
64,British Columbia,Vancouver,"6,03,502","5,78,041",4.4,114.97,"5,249.10"
65,British Columbia,Vernon,"38,150","35,979",6,95.76,398.4
66,British Columbia,Victoria,"80,017","78,057",2.5,19.47,"4,109.40"
67,British Columbia,White Rock,"19,339","18,755",3.1,5.13,"3,773.50"
68,British Columbia,Williams Lake,"10,832","10,744",0.8,33.13,327
69,Manitoba,Brandon,"46,061","41,511",11,76.89,599.1
70,Manitoba,Dauphin,"8,251","7,906",4.4,12.65,652.1
71,Manitoba,Flin Flon (part),"5,363","5,594",?4.1,13.88,386.4
72,Manitoba,Morden,"7,812","6,571",18.9,16.39,476.7
73,Manitoba,Portage la Prairie,"12,996","12,728",2.1,24.67,526.7
74,Manitoba,Selkirk,"9,834","9,515",3.4,24.87,395.4
75,Manitoba,Steinbach,"13,524","11,066",22.2,25.57,528.9
76,Manitoba,Thompson,"12,829","13,446",?4.6,17.18,746.9
77,Manitoba,Winkler,"10,670","9,106",17.2,17.01,627.2
78,Manitoba,Winnipeg,"6,63,617","6,33,451",4.8,464.08,"1,430"
79,New Brunswick,Bathurst,"12,275","12,714",?3.5,91.86,133.6
80,New Brunswick,Campbellton,"7,385","7,384",0,18.66,395.7
81,New Brunswick,Dieppe,"23,310","18,565",25.6,54.11,430.8
82,New Brunswick,Edmundston,"16,032","16,643",?3.7,107,149.8
83,New Brunswick,Fredericton,"56,224","50,535",11.3,131.67,427
84,New Brunswick,Miramichi,"17,811","18,129",?1.8,179.93,99
85,New Brunswick,Moncton,"69,074","64,128",7.7,141.17,489.3
86,New Brunswick,Saint John,"70,063","68,043",3,315.82,221.8
87,Newfoundland and Labrador,Corner Brook,"19,886","20,083",?1.0,148.26,134.1
88,Newfoundland and Labrador,Mount Pearl,"24,284","24,671",?1.6,15.75,"1,542.10"
89,Newfoundland and Labrador,St. John's,"1,06,172","1,00,646",5.5,446.06,238
90,Northwest Territories,Yellowknife,"19,234","18,700",2.9,105.44,182.4
91,Nunavut,Iqaluit,"6,699","6,184",8.3,52.5,127.6
92,Ontario,Barrie,"1,36,063","1,28,430",5.9,77.39,"1,758.10"
